,Brand,Generic,Uses
3549,suprep,"Sodium, Potassium,Mag Sulfates",Sodium/potassium/magnesium sulfate solution is used to clean out the intestines before a certain bowel exam procedure (colonoscopy). It is a laxative that works by drawing large amounts of water into the colon. This causes watery bowel movements. Clearing stool from the intestines helps your doctor to better examine the intestines during your procedure.
3550,surgilube,Surgical Lubricant,Drug uses not available
3551,sustiva,Efavirenz,"This drug is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Efavirenz belongs to a class of drugs known as non-nucleoside reverse transcriptase inhibitors (NNRTIs). Efavirenz is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
3552,sustol,Granisetron,Granisetron is used to help prevent nausea and vomiting caused by cancer chemotherapy. It works by blocking the effect of a natural substance in your body (serotonin) that may cause nausea or vomiting.
3553,sutent,Sunitinib Malate,"This medication is used to treat certain types of cancer (kidney, pancreas, and intestinal). It is also used to treat people who are at high risk of the kidney cancer coming back again after having kidney surgery. Sunitinib works by stopping or slowing the growth of cancer tumors. It also works by slowing the growth of new blood vessels within the tumor."
3554,syeda,Ethinyl Estradiol/Drospirenone,"This medication is a combination of 2 hormones: an estrogen (ethinyl estradiol) and a progestin (drospirenone). This product is used to prevent pregnancy. It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, and decrease your risk of ovarian cysts. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
3555,sylatron,PEGinterferon Alfa-2b,This medication is used to keep malignant melanoma (a type of skin cancer) from coming back after it has been removed by surgery. This medication is the same as a protein that your body naturally makes (interferon). This medication is thought to work by affecting how cells work and grow and by affecting the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off cancer.
3556,sylvant,Siltuximab,"Siltuximab is used to treat a certain rare illness (multicentric Castleman's disease - MCD) if you do not have HIV or herpes infections. Siltuximab blocks a certain natural substance that affects the immune system. Siltuximab can improve the symptoms of MCD including lumps under the skin, fever, weakness or tiredness, or night sweats."
3557,symbicort,Budesonide/Formoterol Fumarate,"This product is used to control and prevent symptoms (wheezing and shortness of breath) caused by asthma or ongoing lung disease (chronic obstructive pulmonary disease-COPD, which includes chronic bronchitis and emphysema). It contains 2 medications: budesonide and formoterol. Budesonide belongs to a class of drugs known as corticosteroids. It works by reducing the irritation and swelling of the airways. Formoterol belongs to the class of drugs known as long-acting beta agonists. It works by relaxing the muscles around the airways so that they open up and you can breathe more easily. Controlling symptoms of breathing problems can decrease time lost from work or school. When used alone, long-acting beta agonists (such as formoterol) may rarely increase the risk of serious (sometimes fatal) asthma-related breathing problems. However, combination inhaled corticosteroid and long-acting beta agonists, such as this product, do not increase the risk of serious asthma-related breathing problems. For asthma treatment, this product should be used when breathing problems are not well controlled with one asthma-control medication (such as inhaled corticosteroid) or if your symptoms need combination treatment. Before using this medication, it is important to learn how to use it properly. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, also called salbutamol in some countries) as prescribed."
3558,symbyax,Olanzapine/Fluoxetine HCl,"This medication is a combination of 2 drugs, olanzapine (an antipsychotic drug) and fluoxetine (a selective serotonin reuptake inhibitor-SSRI). It is used to treat a certain type of mental/mood disorder (depression associated with bipolar disorder). It is also used to treat depression that has not responded to other medications. This medication may help you sleep, improve your mood, improve your concentration, and decrease nervousness. It works by helping to restore the balance of certain natural substances in the brain (neurotransmitters). Talk to the doctor about the risks and benefits of treatment (especially when used in teenagers). See also Precautions section."
3559,symdeko,Tezacaftor/IVacaftor,"This product contains 2 different tablets. One tablet contains 2 medications (""multi-drug""): tezacaftor and ivacaftor. The other tablet contains only ivacaftor. This product is used to treat cystic fibrosis in certain people (those with an abnormal ""CFTR"" gene). It may help to improve breathing, reduce the risk of lung infections, and improve weight gain."
3560,symfi,Efavirenz/Lamivu/Tenofov Disop,"This combination product is used by itself to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. This product is a combination of 3 different drugs: efavirenz, lamivudine, and tenofovir. Efavirenz belongs to a class of drugs known as non-nucleoside reverse transcriptase inhibitors (NNRTIs). Lamivudine is called a nucleoside reverse transcriptase inhibitor and tenofovir is called a nucleotide reverse transcriptase inhibitor. Lamivudine and tenofovir are often called NRTIs. Efavirenz/lamivudine/tenofovir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
3561,symfi lo,Efavirenz/Lamivu/Tenofov Disop,"This combination product is used by itself to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. This product is a combination of 3 different drugs: efavirenz, lamivudine, and tenofovir. Efavirenz belongs to a class of drugs known as non-nucleoside reverse transcriptase inhibitors (NNRTIs). Lamivudine is called a nucleoside reverse transcriptase inhibitor and tenofovir is called a nucleotide reverse transcriptase inhibitor. Lamivudine and tenofovir are often called NRTIs. Efavirenz/lamivudine/tenofovir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
3562,symjepi,Epinephrine,Drug uses not available
3563,symlinpen 120,Pramlintide Acetate,"Pramlintide is used with mealtime insulin and a proper diet and exercise program to control high blood sugar in people with type 1 and type 2 diabetes. It is used when patients who are already using insulin need better blood sugar control. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pramlintide acts like a certain natural substance called amyrin, which lowers blood sugar. This drug works by slowing the movement of food through your stomach. It also decreases your appetite and the amount of sugar your liver makes. Pramlintide does not replace insulin, but it may lower the amount of insulin you need."
3564,symlinpen 60,Pramlintide Acetate,"Pramlintide is used with mealtime insulin and a proper diet and exercise program to control high blood sugar in people with type 1 and type 2 diabetes. It is used when patients who are already using insulin need better blood sugar control. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pramlintide acts like a certain natural substance called amyrin, which lowers blood sugar. This drug works by slowing the movement of food through your stomach. It also decreases your appetite and the amount of sugar your liver makes. Pramlintide does not replace insulin, but it may lower the amount of insulin you need."
3565,sympazan,Clobazam,"This medication is used with other medications to help control seizures. It belongs to a class of medications called benzodiazepines, which act on the brain and nerves (central nervous system) to produce a calming effect. This drug works by enhancing the effects of a certain natural chemical in the body (GABA)."
3566,symproic,Naldemedine Tosylate,This medication is used to treat constipation caused by opioid medication. It blocks the effect of opioids on the gut without blocking the effect on pain. Naldemedine belongs to a class of medications known as opioid antagonists.
3567,symtuza,Darunavir/Cob/Emtri/Tenof Alaf,"This product is used to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. This product contains 4 different medications: darunavir, cobicistat, emtricitabine, and tenofovir alafenamide. Darunavir is known as a protease inhibitor. Cobicistat helps darunavir work better. Emtricitabine is called a nucleoside reverse transcriptase inhibitor, while tenofovir alafenamide is called a nucleotide reverse transcriptase inhibitor; both kinds of drugs are often called NRTIs. Darunavir/cobicistat/emtricitabine/tenofovir alafenamide is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
3568,synagis,Palivizumab,"Palivizumab is used in certain infants and young children to prevent serious lung infections (such as pneumonia) that are caused by a certain virus (respiratory syncytial virus-RSV). Palivizumab works by preventing the growth of the virus. This medication is not used to treat RSV infection, but should be continued even if your child gets the RSV infection to prevent a more serious infection."
3569,synarel,Nafarelin Acetate,"Nafarelin is used in women to treat a condition in which the tissue that normally lines the inside of the uterus grows in the wrong place (endometriosis). This medication helps to decrease the abnormal tissue and also the symptoms of endometriosis (such as pelvic pain, painful menstrual cramps, and pain during/after sex). This medication is also used in children to treat a certain type of early puberty (central precocious puberty, gonadotropin-dependent). It helps to slow the bone aging and height growth rate so that both are near normal, and it helps to stop or reverse signs of early puberty (such as breast growth in girls, growth of sexual organs in boys). Nafarelin is similar to a natural hormone made by the body (gonadotropin-releasing hormone-GnRH). It works by decreasing the testosterone hormones in boys and estrogen hormones in women and girls."
3570,synera,Lidocaine/Tetracaine,"This product contains 2 local anesthetics: lidocaine and tetracaine. It is used on the skin to prevent pain before certain procedures (such as inserting a needle for drawing blood, removing a small piece of skin for testing). It works by briefly numbing the skin and surrounding area."
3571,synjardy,Empagliflozin/Metformin HCl,"This medication is a combination of 2 drugs: empagliflozin and metformin. It is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This medication works by helping to restore your body's proper response to the insulin you naturally produce. It also increases the removal of sugar by your kidneys, decreases how much sugar is made in your liver, and decreases how much sugar your body takes in through your stomach and intestines."
3572,synjardy xr,Empagliflozin/Metformin HCl,"This medication is a combination of 2 drugs: empagliflozin and metformin. It is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. This medication works by helping to restore your body's proper response to the insulin you naturally produce. It also increases the removal of sugar by your kidneys, decreases how much sugar is made in your liver, and decreases how much sugar your body takes in through your stomach and intestines."
3573,synribo,Omacetaxine Mepesuccinate,This medication is used to treat a certain type of cancer (chronic myeloid leukemia-CML). It works by slowing or stopping the growth of cancer cells.
3574,synthroid,Levothyroxine Sodium,"Levothyroxine is used to treat an underactive thyroid (hypothyroidism). It replaces or provides more thyroid hormone, which is normally produced by the thyroid gland. Low thyroid hormone levels can occur naturally or when the thyroid gland is injured by radiation/medications or removed by surgery. Having enough thyroid hormone is important for maintaining normal mental and physical activity. In children, having enough thyroid hormone is important for normal mental and physical development. This medication is also used to treat other types of thyroid disorders (such as certain types of goiters, thyroid cancer). This medication should not be used to treat infertility unless it is caused by low thyroid hormone levels."
3575,synvisc,Hylan G-F 20,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
3576,synvisc-one,Hylan G-F 20,"This medication is used to treat knee pain in patients with joint inflammation (osteoarthritis). It is usually used in patients who have not responded to other treatments such as acetaminophen, exercise, or physical therapy. Hyaluronate (also known as hyaluronan) is similar to a substance that occurs naturally in the joints. It may work by acting as a lubricant and shock absorber in the joint, helping the knee to move smoothly, thereby lessening pain."
3577,syprine,Trientine HCl,"This medication is used to treat a certain inherited disorder (Wilson's disease). This disorder causes too much copper to build up in the liver, brain, and other parts of the body. Trientine works by binding to copper, which helps your body get rid of extra copper. This can decrease symptoms such as problems with speech/swallowing/coordination, tiredness, lack of appetite, abdominal pain, yellowing eyes/skin, fluid buildup in the legs/abdomen, uncontrolled movements, or muscle stiffness."
3578,systane contacts,"Wetting Soln Gas,Hard And Soft",Drug uses not available
3579,tab-a-vite,Multivitamin With Folic Acid,"This medication is a multivitamin product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins are important building blocks of the body and help keep you in good health."
3580,tab-a-vite multivit with iron,Multivit/Iron Sulf/Folic Acid,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
3581,tabloid,Thioguanine,Thioguanine is used to treat a certain type of cancer (acute myeloid leukemia-AML). It is a chemotherapy drug that works by slowing or stopping the growth of cancer cells.
3582,tabrecta,Capmatinib Hydrochloride,This medication is used to treat a certain type of lung cancer (non-small cell lung cancer-NSCLC). Capmatinib works by slowing or stopping the growth of cancer cells. It belongs to a class of drugs known as kinase inhibitors.
3583,taclonex,Calcipotriene/Betamethasone,"This medication is used to treat psoriasis. It helps to reduce the redness, thickening, and scaling of the skin that occurs with this condition. Healthy skin lowers your risk for infection and protects you against the environment. This product contains 2 drugs. Betamethasone is a very strong corticosteroid drug that works by decreasing swelling, redness, and itching. Calcipotriene is a form of vitamin D. It is also known as calcipotriol in other countries. It works by slowing down the growth of skin cells so that they don't build up into thickened, scaly skin patches. This product should not be used if you have certain types of psoriasis (skin patches with pus-filled blisters, psoriasis over most of your body with intense redness/shedding/oozing). Consult your doctor for more information."
3584,tacrolimus*,Tacrolimus,"Tacrolimus is used with other medications to prevent rejection of a kidney, heart, or liver transplant. This medication belongs to a class of drugs known as immunosuppressants. It works by weakening your body's defense system (immune system) to help your body accept the new organ as if it were your own."
3585,tadalafil,Tadalafil,Tadalafil is used to treat high blood pressure in the lungs (pulmonary hypertension). It works by relaxing and widening the blood vessels in your lungs which allows the blood to flow more easily. Decreasing high blood pressure in the lungs allows your heart and lungs to work better and improves your ability to exercise.
3586,tafinlar,Dabrafenib Mesylate,Dabrafenib may be used alone or in combination with another medication (trametinib) to treat a type of skin cancer (melanoma). It is also used with trametinib to treat thyroid cancer and a type of lung cancer (non-small cell lung cancer-NSCLC). Dabrafenib works by slowing the growth of cancer cells.
3587,tagrisso,Osimertinib Mesylate,This medication is used to treat lung cancer. Osimertinib belongs to a class of drugs known as kinase inhibitors. It works by slowing or stopping the growth of cancer cells. It binds to a certain protein (epidermal growth factor receptor-EGFR) in some tumors.
3588,takhzyro,Lanadelumab-Flyo,"This medication is used to help prevent severe swelling attacks due to a certain inherited immune disease (hereditary angioedema-HAE). Lanadelumab-flyo works by binding to a natural substance made by the body (kallikrein) and blocking its effect. This blocking effect lowers the amount of another natural substance (bradykinin) that causes symptoms during an attack of HAE. Lanadelumab-flyo may help decrease symptoms such as abdominal pain/cramps, diarrhea, vomiting, or rapid swelling and pain of the hands, feet, limbs, face, tongue, or throat."
3589,talicia,Omeprazole/Amoxicill/Rifabutin,"This product is used to treat H. pylori infection in the stomach. H. pylori can cause stomach problems such as ulcers. Omeprazole is known as a proton pump inhibitor (PPI). It works by blocking acid production in the stomach. Decreasing excess stomach acid can help treat stomach problems and allow ulcers to heal. Amoxicillin and rifabutin are antibiotics used to treat a wide variety of bacterial infections (including H. pylori). Treating the infection helps to reduce the risk of stomach problems (such as ulcers). Amoxicillin is a penicillin-type antibiotic and rifabutin is a rifamycin antibiotic. They work by stopping the growth of bacteria. The antibiotics in this product treat only bacterial infections. Antibiotics do not work for viral infections (such as common cold, flu). Using any antibiotic when it is not needed can cause it to not work for future infections."
3590,taltz autoinjector,Ixekizumab,"This medication is used to treat plaque psoriasis and certain types of arthritis (psoriatic arthritis, ankylosing spondylitis, axial spondyloarthritis). Ixekizumab belongs to a class of drugs known as monoclonal antibodies. It works by blocking a certain natural protein in your body (interleukin-17A) that may cause inflammation and swelling."
3591,taltz autoinjector (2 pack),Ixekizumab,"This medication is used to treat plaque psoriasis and certain types of arthritis (psoriatic arthritis, ankylosing spondylitis, axial spondyloarthritis). Ixekizumab belongs to a class of drugs known as monoclonal antibodies. It works by blocking a certain natural protein in your body (interleukin-17A) that may cause inflammation and swelling."
3592,taltz autoinjector (3 pack),Ixekizumab,"This medication is used to treat plaque psoriasis and certain types of arthritis (psoriatic arthritis, ankylosing spondylitis, axial spondyloarthritis). Ixekizumab belongs to a class of drugs known as monoclonal antibodies. It works by blocking a certain natural protein in your body (interleukin-17A) that may cause inflammation and swelling."
3593,taltz syringe,Ixekizumab,"This medication is used to treat plaque psoriasis and certain types of arthritis (psoriatic arthritis, ankylosing spondylitis, axial spondyloarthritis). Ixekizumab belongs to a class of drugs known as monoclonal antibodies. It works by blocking a certain natural protein in your body (interleukin-17A) that may cause inflammation and swelling."
3594,talzenna,Talazoparib Tosylate,This medication is used to treat breast cancer. It works by slowing or stopping the growth of cancer cells.
3595,tamiflu,Oseltamivir Phosphate,"Oseltamivir is used to treat symptoms caused by the flu virus (influenza). It helps make the symptoms (such as stuffy nose, cough, sore throat, fever/chills, aches, tiredness) less severe and shortens the recovery time by 1-2 days. This medication may also be used to prevent the flu if you have been exposed to someone who already has the flu (such as a sick household member) or if there is a flu outbreak in the community. Talk to your doctor for more details. This medication works by stopping the flu virus from growing. It is not a substitute for the flu vaccine. (See also Notes section.)"
3596,tamoxifen citrate,Tamoxifen Citrate,Tamoxifen is used to treat breast cancer. It is also used to reduce the chances of breast cancer in high-risk patients. This medication can block the growth of breast cancer. It works by interfering with the effects of estrogen in the breast tissue.
3597,tamsulosin hcl,Tamsulosin HCl,"Tamsulosin is used by men to treat the symptoms of an enlarged prostate (benign prostatic hyperplasia-BPH). It does not shrink the prostate, but it works by relaxing the muscles in the prostate and the bladder. This helps to relieve symptoms of BPH such as difficulty in beginning the flow of urine, weak stream, and the need to urinate often or urgently (including during the middle of the night). Tamsulosin belongs to a class of drugs known as alpha blockers. Do not use this medication to treat high blood pressure."
3598,t&em plus,"Iron Fm,Ps No.1/Folic/Mv No.18","This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
3599,tanzeum,Albiglutide,Drug uses not available
3600,tapazole,Methimazole,Methimazole is used to treat overactive thyroid (hyperthyroidism). It works by stopping the thyroid gland from making too much thyroid hormone.
3601,taperdex,Dexamethasone,"Dexamethasone is used to treat conditions such as arthritis, blood/hormone disorders, allergic reactions, skin diseases, eye problems, breathing problems, bowel disorders, cancer, and immune system disorders. It is also used as a test for an adrenal gland disorder (Cushing's syndrome). Dexamethasone belongs to a class of drugs known as corticosteroids. It decreases your immune system's response to various diseases to reduce symptoms such as swelling and allergic-type reactions."
3602,tarceva,Erlotinib HCl,Erlotinib is used to treat lung and pancreatic cancer. It works by slowing or stopping the growth of cancer cells.
3603,targretin*,Bexarotene,Bexarotene is used to treat skin problems from a certain type of cancer (cutaneous T-cell lymphoma-CTCL). It works by slowing or stopping the growth of these cancer cells. Bexarotene belongs to a class of drugs called retinoids (drugs related to vitamin A).
3604,tarina 24 fe,Norethindrone-E.Estradiol-Iron,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
3605,tarina fe,Norethindrone-E.Estradiol-Iron,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. There is a small amount of iron (ferrous fumarate) in each of the 7 inactive tablets taken during the fourth week. The inactive pills do not contain any hormones. These tablets are meant to keep you in the habit of taking 1 tablet each day and do not have enough iron to treat iron deficiency. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
3606,tarina fe 1-20 eq,Norethindrone-E.Estradiol-Iron,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. There is a small amount of iron (ferrous fumarate) in each of the 7 inactive tablets taken during the fourth week. The inactive pills do not contain any hormones. These tablets are meant to keep you in the habit of taking 1 tablet each day and do not have enough iron to treat iron deficiency. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
3607,tarka,Trandolapril/Verapamil HCl,"This product is used to treat high blood pressure. Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: trandolapril and verapamil. Trandolapril belongs to a class of drugs known as ACE inhibitors. Verapamil belongs to a class of drugs known as calcium channel blockers. They both work by relaxing blood vessels so blood can flow more easily. Verapamil may also lower your heart rate."
3608,taron forte,"Iron Bg,Ps/Vitc/B12/FA/Calcium","This combination product contains a mineral (iron) along with 3 vitamins (vitamin C, vitamin B12, and folic acid). It is used to treat or prevent a lack of these nutrients which may occur in certain health conditions (e.g., anemia, pregnancy, poor diet, surgery recovery). Iron is an important mineral that the body needs to produce red blood cells. Vitamin C improves the absorption of iron from the stomach. Vitamin B12 is important for normal blood, cells, and nerves. Folic acid is needed to form healthy cells, especially red blood cells. Women of childbearing age should maintain adequate amounts of folic acid either through diet or supplements to prevent spinal cord birth defects."
3609,taron-c dha,Mvn-Min75/Iron/Iron Ps/Om3/DHA,"This medication is a multivitamin and iron product used to treat or prevent vitamin deficiency due to poor diet, certain illnesses, or during pregnancy. Vitamins and iron are important building blocks of the body and help keep you in good health."
3610,tasigna,Nilotinib HCl,Nilotinib is used to treat a certain type of blood cancer (chronic myelogenous leukemia-CML). It works by slowing or stopping the growth of cancer cells.
3611,tavaborole,Tavaborole,"This medication is used to treat toenail infection caused by fungus. It works by stopping the growth of certain types of fungus. Tavaborole belongs to a class of drugs known as oxaborole antifungals. This medication treats only fungal infections. It will not work for other types of infection, such as those caused by bacteria. Unnecessary use or misuse of any drug used to treat infection can lead to its decreased effectiveness."
3612,tavalisse,Fostamatinib Disodium,This medication is used to treat people with a certain blood disorder known as chronic immune thrombocytopenia-ITP. This is a condition where the amount of one type of cell in your blood (platelets) is lower than normal. ITP can lead to serious bleeding problems. Fostamatinib belongs to a class of drugs known as spleen tyrosine kinase inhibitors. It works by increasing platelets in your blood.
3613,taxotere,Docetaxel,"This medication is used to treat cancer (such as breast, lung, prostate, stomach, and head/neck cancer). Docetaxel is a member of a family of drugs called taxanes. This drug works by slowing cell growth."
3614,taytulla,Norethindrone-E.Estradiol-Iron,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). It works mainly by preventing the release of an egg (ovulation) during your menstrual cycle. It also makes vaginal fluid thicker to help prevent sperm from reaching an egg (fertilization) and changes the lining of the uterus (womb) to prevent attachment of a fertilized egg. If a fertilized egg does not attach to the uterus, it passes out of the body. There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency. Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne. Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
3615,tazarotene,Tazarotene,Tazarotene is used to treat psoriasis or acne. It is a retinoid product related to Vitamin A. It works by affecting the growth of skin cells. The foam and lotion forms of this medication are only approved for use on acne.
3616,tazicef*,Ceftazidime,Ceftazidime is used to treat a wide variety of bacterial infections. This medication belongs to a class of drugs known as cephalosporin antibiotics. It works by stopping the growth of bacteria.
3617,tazorac,Tazarotene,Tazarotene is used to treat psoriasis or acne. It is a retinoid product related to Vitamin A. It works by affecting the growth of skin cells. The foam and lotion forms of this medication are only approved for use on acne.
3618,taztia xt,Diltiazem HCl,"Diltiazem is used to treat high blood pressure (hypertension) and prevent chest pain (angina). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. When used regularly, diltiazem can decrease the number and severity of episodes of chest pain from angina. It may help increase your ability to exercise. Diltiazem is called a calcium channel blocker. It works by relaxing blood vessels in the body and heart so blood can flow more easily. Diltiazem also lowers your heart rate. These effects help the heart work less hard and lower blood pressure."
3619,tazverik,Tazemetostat Hydrobromide,This medication is used to treat certain types of cancer (epithelioid sarcoma or follicular lymphoma). It works by slowing or stopping the growth of cancer cells.
3620,tc99m sestamibi prep,Kit For Tc 99m/Sestamibi No.1,Drug uses not available
3621,tecentriq,Atezolizumab,"This medication is used to treat various cancers (such as bladder, breast, liver, lung, skin). It works by helping your immune system fight the cancer. Atezolizumab belongs to a class of drugs known as monoclonal antibodies."
3622,tecfidera,Dimethyl Fumarate,Dimethyl fumarate is used to treat multiple sclerosis (MS). It is not a cure for MS. It helps decrease the number of episodes of worsening MS.
3623,teflaro,Ceftaroline Fosamil Acetate,Ceftaroline is an antibiotic used to treat a variety of bacterial infections. This medication is known as a cephalosporin antibiotic. It works by stopping the growth of bacteria.
3624,tegretol,Carbamazepine,Carbamazepine is used to prevent and control seizures. This medication is known as an anticonvulsant or anti-epileptic drug. It is also used to relieve certain types of nerve pain (such as trigeminal neuralgia). This medication works by reducing the spread of seizure activity in the brain and restoring the normal balance of nerve activity.
3625,tegretol xr,Carbamazepine,Carbamazepine is used to prevent and control seizures. This medication is known as an anticonvulsant or anti-epileptic drug. It is also used to relieve certain types of nerve pain (such as trigeminal neuralgia). This medication works by reducing the spread of seizure activity in the brain and restoring the normal balance of nerve activity. Some forms of this medication are also used to treat bipolar disorder. Carbamazepine can help to decrease extreme changes in mood and help you feel less agitated.
3626,tegsedi,Inotersen Sodium,"This medication is used to treat nerve problems due to a certain inherited condition (transthyretin-mediated amyloidosis). This condition causes a protein that your body normally makes (transthyretin-TTR), to change shape and build up in different parts of your body, which can affect the nerves, heart, eyes, and gut. This medication works by decreasing the buildup of TTR in your body."
3627,tekturna,Aliskiren Hemifumarate,"This medication is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Aliskiren works by relaxing blood vessels so blood can flow more easily. It belongs to a class of drugs known as direct renin inhibitors. This drug is not recommended for use in children younger than 2 years due to an increased risk of side effects."
